mun;nome_mun;TFT_2019;TFT_2020;TFT_2021
310010;ABADIA DOS DOURADOS;1,098689953;1,221251943;0,947824979
310020;ABAETE;1,419547506;1,509281589;1,235575674
310030;ABRE CAMPO;1,66039087;1,645688773;1,816422024
310040;ACAIACA;1,767073233;1,784258693;1,571159773
310050;ACUCENA;1,405400994;1,493706115;1,145565899
310060;AGUA BOA;1,46233629;1,658345816;1,420472863
310070;AGUA COMPRIDA;1,405257302;1,964259597;1,540834613
310080;AGUANIL;1,001851346;1,127747768;1,244149524
310090;AGUAS FORMOSAS;1,901353171;1,826180103;2,097154598
310100;AGUAS VERMELHAS;1,433361916;1,618990705;1,715747969
310110;AIMORES;1,700843095;1,809828405;1,811039428
310120;AIURUOCA;1,263198025;1,279636729;1,544500227
310130;ALAGOA;1,183054757;1,546755559;1,453971114
310140;ALBERTINA;1,17919734;0,794482441;1,159801048
310150;ALEM PARAIBA;1,551863257;1,411788878;1,333361656
310160;ALFENAS;1,640156349;1,604323832;1,564979455
310163;ALFREDO VASCONCELOS;1,339576041;1,67160125;1,634439805
310170;ALMENARA;1,809595858;1,742912226;1,867039834
310180;ALPERCATA;1,942957069;1,694853916;1,473919402
310190;ALPINOPOLIS;1,373427014;1,499868388;1,442382211
310200;ALTEROSA;1,51714502;1,544480093;1,395553659
310205;ALTO CAPARAO;2,152970423;1,735513329;1,904723805
310210;ALTO RIO DOCE;1,383529228;1,279886386;1,305050957
310220;ALVARENGA;2,229602281;2,120785144;1,96150137
310230;ALVINOPOLIS;1,238819972;1,372689772;1,241235391
310240;ALVORADA DE MINAS;1,466547008;2,205897631;1,785768925
310250;AMPARO DO SERRA;1,014753958;1,421208953;1,363921128
310260;ANDRADAS;1,556717509;1,589633365;1,578574986
310270;CACHOEIRA DE PAJEU;1,269763934;1,082314449;1,223127209
310280;ANDRELANDIA;1,600957552;1,373431971;1,394190621
310285;ANGELANDIA;1,304983188;1,392885523;1,691205241
310290;ANTONIO CARLOS;1,457041038;1,302057825;1,304383618
310300;ANTONIO DIAS;1,586777984;1,614148245;1,303910938
