Região de Saúde (CIR),2010/jan.,2010/fev.,2010/mar.,2010/abr.,2010/mai.,2010/jun.,2010/jul.,2010/ago.,2010/set.,2010/out.,2010/nov.,2010/dez.,2011/jan.,2011/fev.,2011/mar.,2011/abr.,2011/mai.,2011/jun.,2011/jul.,2011/ago.,2011/set.,2011/out.,2011/nov.,2011/dez.,2012/jan.,2012/fev.,2012/mar.,2012/abr.,2012/mai.,2012/jun.,2012/jul.,2012/ago.,2012/set.,2012/out.,2012/nov.,2012/dez.,2013/jan.,2013/fev.,2013/mar.,2013/abr.,2013/mai.,2013/jun.,2013/jul.,2013/ago.,2013/set.,2013/out.,2013/nov.,2013/dez.,2014/jan.,2014/fev.,2014/mar.,2014/abr.,2014/mai.,2014/jun.,2014/jul.,2014/ago.,2014/set.,2014/out.,2014/nov.,2014/dez.,2015/jan.,2015/fev.,2015/mar.,2015/abr.,2015/mai.,2015/jun.,2015/jul.,2015/ago.,2015/set.,2015/out.,2015/nov.,2015/dez.,2016/jan.,2016/fev.,2016/mar.,2016/abr.,2016/mai.,2016/jun.,2016/jul.,2016/ago.,2016/set.,2016/out.,2016/nov.,2016/dez.,2017/jan.,2017/fev.,2017/mar.,2017/abr.,2017/mai.,2017/jun.,2017/jul.,2017/ago.,2017/set.,2017/out.,2017/nov.,2017/dez.,2018/jan.,2018/fev.,2018/mar.,2018/abr.,2018/mai.,2018/jun.,2018/jul.,2018/ago.,2018/set.,2018/out.,2018/nov.,2018/dez.,2019/jan.,2019/fev.,2019/mar.,2019/abr.,2019/mai.,2019/jun.,2019/jul.,2019/ago.,2019/set.,2019/out.,2019/nov.,2019/dez.,2020/jan.,2020/fev.,2020/mar.,2020/abr.,2020/mai.,2020/jun.,2020/jul.,2020/ago.,2020/set.,2020/out.,2020/nov.,2020/dez.,2021/jan.,2021/fev.,2021/mar.,2021/abr.,2021/mai.,2021/jun.,2021/jul.,2021/ago.,2021/set.,2021/out.,2021/nov.,2021/dez.,2022/jan.,2022/fev.,2022/mar.,2022/abr.,2022/mai.,2022/jun.,2022/jul.,2022/ago.,2022/set.,2022/out.,2022/nov.,2022/dez.,2023/jan.,2023/fev.,2023/mar.,2023/abr.,2023/mai.,2023/jun.,2023/jul.,2023/ago.,2023/set.,2023/out.,2023/nov.,2023/dez.,2024/jan.,2024/fev.,2024/mar.,2024/abr.,2024/mai.,2024/jun.,2024/jul.,2024/ago.,2024/set.,2024/out.,2024/nov.,2024/dez.,2025/jan.,2025/fev.,2025/mar.,2025/abr.,2025/mai.,2025/jun.,2025/jul.,2025/ago.,2025/set.,2025/out.,2025/nov.,2025/dez.,2026/jan.
TOTAL,"1.051,47","1.020,75","1.030,43","1.046,94","1.037,88","1.068,32","1.072,17","1.065,54","1.066,92","1.072,88","1.094,76","1.112,11","1.077,67","1.114,60","1.093,18","1.110,29","1.116,73","1.117,93","1.143,12","1.151,78","1.159,47","1.165,04","1.135,14","1.134,31","1.169,59","1.147,19","1.168,85","1.154,60","1.189,75","1.174,41","1.189,83","1.214,30","1.200,30","1.209,79","1.209,43","1.222,50","1.229,57","1.231,97","1.223,45","1.231,33","1.241,46","1.254,64","1.293,62","1.272,98","1.262,92","1.303,63","1.285,69","1.309,86","1.338,16","1.304,23","1.311,90","1.284,07","1.367,64","1.309,99","1.344,94","1.341,32","1.323,35","1.356,22","1.364,38","1.344,05","1.368,56","1.391,96","1.334,09","1.343,86","1.354,21","1.385,11","1.394,68","1.380,79","1.397,96","1.363,93","1.376,85","1.391,35","1.369,58","1.342,30","1.375,28","1.340,48","1.352,66","1.396,00","1.386,50","1.396,40","1.392,11","1.375,51","1.421,77","1.455,02","1.440,25","1.431,29","1.435,96","1.407,78","1.417,35","1.413,95","1.425,46","1.471,85","1.440,69","1.438,76","1.447,11","1.434,40","1.433,49","1.433,51","1.411,64","1.410,45","1.425,80","1.440,17","1.457,92","1.445,63","1.466,29","1.438,90","1.433,61","1.447,72","1.485,54","1.452,28","1.451,10","1.436,56","1.409,69","1.429,42","1.473,20","1.477,68","1.463,48","1.486,89","1.474,97","1.504,03","1.487,71","1.480,84","1.477,82","1.606,17","1.571,70","1.678,42","1.839,98","1.884,79","1.882,32","1.862,76","1.839,49","1.885,76","1.952,64","1.982,24","2.146,56","2.463,28","2.480,46","2.603,62","2.505,20","2.360,83","2.082,32","1.930,01","1.827,48","1.722,81","1.723,53","1.869,54","1.771,54","1.719,13","1.652,56","1.646,81","1.695,38","1.707,83","1.718,52","1.720,81","1.723,43","1.787,09","1.744,28","1.675,30","1.725,16","1.694,95","1.720,15","1.758,28","1.779,37","1.784,17","1.758,22","1.796,48","1.790,54","1.839,48","1.804,58","1.790,23","1.741,90","1.749,08","1.782,34","1.796,99","1.883,98","1.904,57","1.936,31","1.970,31","1.979,21","1.971,86","1.911,84","1.932,76","1.888,46","1.938,38","2.036,13","1.965,24","2.032,15","2.149,34","2.214,29","2.214,05","2.261,60","2.297,25","1.543,34"
31001 Alfenas/Machado,"795,25","769,18","800,09","768,46","899,11","727,99","1.010,94","885,21","970,06","1.012,57","880,58","904,74","858,94","975,80","918,74","978,69","984,34","934,92","1.039,62","1.048,56","1.062,38","1.010,25","1.080,50","1.008,74","1.001,94","1.036,52","988,08","1.002,88","1.088,29","1.029,46","1.018,98","1.003,27","1.097,14","1.075,41","974,69","946,76","1.103,74","1.140,87","1.071,18","1.084,47","1.184,05","1.095,60","1.116,87","1.164,23","1.209,35","1.251,00","1.167,45","1.091,78","1.225,22","1.231,95","1.217,71","1.278,02","1.230,45","1.141,29","1.243,72","1.193,22","1.177,43","1.186,35","1.351,56","1.109,67","1.252,76","1.183,63","1.179,89","1.081,81","1.188,33","1.233,48","1.143,68","1.213,54","1.168,58","1.200,16","1.071,84","1.139,84","1.127,30","1.154,16","1.190,79","1.204,01","1.188,83","1.219,93","1.147,13","1.234,32","1.142,31","1.183,68","1.028,96","1.261,19","1.136,69","1.191,30","1.321,65","1.205,13","1.294,33","1.206,75","1.342,57","1.198,90","1.265,68","1.386,26","1.219,88","1.253,35","1.362,49","1.372,51","1.169,02","1.231,03","1.285,38","1.293,60","1.251,41","1.272,22","1.193,13","1.308,61","1.228,69","1.348,47","1.325,95","1.220,47","1.197,48","1.283,64","1.171,28","1.333,24","1.288,76","1.233,02","1.185,47","1.301,33","1.373,07","1.375,35","1.342,81","1.311,92","1.301,77","1.342,15","1.326,20","1.439,41","1.625,65","1.354,76","1.521,85","1.684,41","1.695,10","1.493,42","1.956,98","1.612,22","1.888,47","1.585,54","2.081,30","2.297,22","2.373,38","2.683,38","2.427,95","2.065,82","2.098,87","1.512,02","1.733,82","2.185,25","1.777,50","1.289,93","1.445,76","1.418,46","1.336,68","1.376,07","1.430,48","1.421,12","1.491,00","1.595,48","1.689,42","1.641,35","1.457,92","1.438,48","1.597,94","1.483,13","1.474,39","1.465,41","1.519,18","1.559,23","1.623,98","1.559,10","1.585,71","1.506,45","1.563,74","1.564,75","1.590,93","1.537,82","1.697,61","1.626,16","2.314,67","2.007,98","2.296,38","2.247,74","2.044,96","2.361,40","2.541,84","2.674,88","4.041,28","1.647,72","2.010,18","2.179,99","2.578,47","2.398,07","2.399,92","2.152,41","1.439,57"
31002 Guaxupé,"653,99","652,68","646,54","606,93","618,75","672,46","624,72","636,66","638,39","587,97","692,26","613,58","632,4","658,06","630,96","643,36","648,79","652,05","691,57","651,73","633,71","665,21","685,44","641,21","646,69","674,66","666,92","675,1","672,8","659,68","596,7","600,78","618,14","661,89","634,63","615,99","590,17","618,82","618,72","669,73","697,49","617,57","621,85","627,38","620,56","604,05","625,55","618,72","618,77","623,24","660,87","694,39","770,72","763,17","735,8","634,29","646,64","638,49","682,32","632,55","618,46","613,15","600,95","588,92","593,53","640,42","632,07","624,18","654,82","619,91","604,12","621,78","574,28","614,05","594,91","674,04","596,11","614,18","643,55","620,31","640,41","608,18","636,65","602,2","605,62","600,69","561,04","649,78","652,86","666,9","664,32","722,99","630,35","746,24","664,77","686,33","636,72","638,1","579,19","662,94","667,5","664,56","650,91","659,53","668,79","618,93","663,62","655,03","632,64","700,19","710,36","594,68","702,18","648,99","693,12","651,96","700,57","659,45","638,18","668,52","616,33","673,18","650,1","662,7","712,91","703,14","717,02","764,1","782,13","749,84","711,2","746,4","880,18","850,08","1.455,72","1.359,13","1.650,65","2.759,98","2.210,71","2.433,19","1.954,72","2.138,96","1.236,51","913,25","769,84","1.221,80","1.209,46","949,39","1.043,38",803,"707,38","885,78","778,65","836,25","823,96","701,24","861,36","713,62","700,95","751,57","840,81","685,81","849,57","800,85","821,13","718,5","829,36","750,71","761,39","709,17","711,6","700,56","731,44","790,58","748,6","1.001,15","806,22","931,2","909,61","976,28","902,52","908,08","837,99","800,44","824,19","747,1","844,03","850,1","942,64","1.033,70","1.117,40","1.027,80","756,73"
31003 Itajubá,"730,45","708,2","690,53","706,72","690,99","625,43","829,51","746,51","707,83","710,95","785,23","560,24","777,81","731,11","708,65","720,15","738,67","783,14","760,08","742,85","797,55","842,79","829,33","872,19","891,67","903,6","864,25",860,"891,33","908,21","895,41","870,97","883,27","870,3","631,48","986,81","924,54","934,29","957,73","937,25","921,5","953,46","918,04","949,67","957,02","959,67","855,38","982,69","1.030,24","1.029,88","1.039,06","1.116,92","998,68","1.094,01","1.119,24","1.073,48","1.151,67","1.116,18","1.137,29","1.358,83","1.254,86","1.419,60","1.326,03","1.374,08","1.368,12","1.339,95","1.342,15","1.310,40","1.398,14","1.313,92","1.598,30","1.507,12","1.394,51","1.461,02","1.457,53","1.295,70","1.417,97","1.330,63","1.282,74","1.422,80","1.455,33","1.395,74","1.500,46","1.518,60","1.332,27","1.546,87","1.543,20","1.514,14","1.546,78","1.457,67","1.558,45","1.530,45","1.474,55","1.644,96","1.592,25","1.732,12","1.381,43","1.758,02","1.494,07","1.422,02","1.674,53","1.355,46","1.587,70","1.782,71","2.111,46","1.791,94","1.508,76","1.724,63","1.736,96","1.423,28","1.381,79","1.813,66","1.449,63","1.762,21","1.864,79","1.759,99","1.635,71","2.082,07","1.405,26","1.587,77","1.638,74","1.486,38","1.718,11","1.671,27","1.743,94","1.931,14","2.634,62","3.203,84","2.607,87","1.992,90","1.846,64","1.864,18","1.464,30","1.608,78","2.206,53","2.329,93","3.635,77","3.977,96","4.802,27","2.998,46","2.058,30","1.979,18","1.954,39","1.865,35","2.147,85","2.970,27","2.127,72","1.858,81","1.644,59","1.675,57","1.768,99","1.370,96","1.590,48","1.856,33","1.753,36","1.752,94","1.414,90","1.660,35","1.645,48","1.884,68","1.668,79","1.666,36","1.795,46","1.710,31","1.678,56","1.976,94","1.827,04","2.170,07","1.813,42","1.975,57","1.836,46","1.733,71","1.451,72","2.478,43","2.194,50","2.718,76","2.040,11","2.073,63","1.845,82","2.453,76","1.780,75","2.236,86","2.036,83","1.776,20","2.483,39","2.145,95","1.918,27","2.241,67","2.220,47","2.055,35","2.079,43","2.172,20","1.545,71"
31004 Lavras,"1.051,96","960,82","995,81","1.077,14","933,75","1.043,32","1.024,66","992,64","983,47","968,41","1.068,39","1.031,64","1.057,49","1.006,15","1.076,99","1.291,54","1.103,25","1.127,29","1.230,46","1.155,54","1.097,12","1.293,30","1.200,41","1.201,45","1.180,37","1.207,77","1.172,79","993,1","1.234,62","1.263,39","1.069,33","1.311,70","1.177,92","1.213,98","1.112,99","1.277,13","1.140,11","1.202,08","1.108,34","1.287,23","1.155,19","1.216,31","1.217,73","1.292,43","1.084,51","1.243,89","1.052,92","1.217,77","1.133,15","1.116,05","1.194,66","1.118,74","1.204,06","1.198,75","1.315,88","1.130,54","1.227,39","1.099,77","1.145,21","1.224,63","1.047,41","1.269,05","1.161,18","1.051,08","1.154,03","1.277,78","1.306,10","1.250,93","1.347,83","1.273,65","1.191,78","1.208,41","1.188,65","1.220,23","1.198,76","1.240,42","1.355,33","1.248,06","1.314,86","1.212,72","1.191,54","1.360,76","1.244,87","1.294,81","1.337,57","1.201,41","1.473,04","1.544,92","1.326,55","1.370,37","1.362,71","1.229,67","1.254,40","1.201,89","1.164,53","1.350,01","1.186,20","1.181,82","1.129,41","1.213,96","1.149,34","1.187,94","1.079,11","1.254,40","1.117,14","1.126,63","1.075,58","1.178,80","1.210,68","1.368,72","1.209,54","1.227,10","1.183,81","1.185,49","1.268,72","1.164,23","1.134,96","1.171,87","1.210,38","1.215,55","1.245,93","1.199,82","1.305,16","1.478,00","1.426,47","1.371,65","1.400,34","1.477,15","1.535,80","1.525,05","1.604,95","1.384,71","1.617,94","1.686,74","1.778,57","2.632,26","2.412,64","2.477,69","2.353,52","2.249,21","2.079,26","1.419,84","1.410,25","1.160,75","1.256,76","1.494,16","1.341,36","1.477,59","1.506,11","1.434,40","1.408,37","1.481,69","1.373,88","1.508,48","1.482,90","1.533,70","1.426,36","1.345,05","1.416,78","1.352,10","1.563,97","1.471,27","1.345,50","1.313,72","1.463,06","1.481,86","1.372,33","1.532,62","1.517,93","1.555,45","1.318,42","1.477,20","1.490,03","1.384,10","1.372,78","1.649,55","1.578,71","1.730,57","1.548,70","1.532,40","1.891,69","1.829,40","1.550,92","1.372,09","1.754,07","1.527,93","1.618,30","1.795,45","1.971,84","1.629,08","1.889,67","2.037,81","1.331,81"
31006 Poços de Caldas,"1.591,04","1.554,68","1.261,11","1.556,56","1.422,04","1.366,47","1.412,93","1.448,22","1.379,53","1.365,58","1.398,50","1.378,64","1.374,57","1.248,72","1.471,31","1.424,71","1.483,24","1.346,69","1.454,59","1.398,11","1.341,01","1.395,87","1.459,63","1.380,24","1.488,60","1.477,39","1.520,54","1.456,67","1.450,18","1.567,22","1.584,13","1.582,97","1.420,50","1.497,08","1.582,38","1.526,58","1.608,58","1.594,06","1.647,24","1.510,10","1.565,65","1.683,44","1.786,39","1.682,91","1.630,77","1.841,64","1.788,55","1.941,50","1.780,57","1.795,26","1.748,24","1.774,80","1.847,87","1.840,92","1.681,09","1.934,97","1.916,19","1.869,51","1.949,16","1.862,82","1.841,27","1.884,85","1.748,34","1.862,35","1.926,38","2.074,65","1.892,83","1.954,41","1.908,09","1.854,70","1.914,26","1.926,93","1.918,53","1.854,81","1.746,80","1.872,84","1.944,09","1.837,29","1.913,50","2.160,84","1.853,57","1.972,70","2.113,60","2.057,75","1.847,79","1.875,12","2.073,07","1.888,66","1.971,24","2.070,03","1.994,25","1.979,08","2.141,73","2.219,67","2.158,93","2.060,11","2.025,63","2.100,16","2.160,03","2.211,47","2.162,29","2.250,23","2.279,01","2.266,18","2.271,95","2.385,77","2.378,72","2.236,89","2.306,84","2.231,31","2.355,29","2.053,26","2.081,64","2.125,23","2.346,50","2.186,51","2.314,82","2.220,62","2.348,80","2.336,32","2.070,89","2.041,14","2.254,46","2.437,18","2.431,29","3.045,52","2.941,03","3.098,76","2.823,40","2.607,26","2.800,24","2.853,07","2.969,94","3.033,12","3.277,87","3.267,37","3.722,66","4.561,11","3.521,76","3.064,74","2.529,09","2.486,02","2.337,62","2.277,82","2.578,71","3.214,89","2.554,67","2.601,33","2.604,76","2.631,47","2.591,47","2.386,35","2.362,40","2.852,56","2.978,97","2.562,92","2.956,80","2.531,47","2.631,23","2.739,75","2.830,45","2.974,21","2.663,49","2.760,38","2.744,55","2.911,11","2.466,19","2.549,95","2.700,70","2.916,54","2.660,55","2.643,25","3.115,60","3.155,59","2.822,30","3.392,12","3.536,82","3.147,13","3.618,11","3.312,04","3.845,44","3.758,69","2.776,03","3.374,82","3.721,38","3.884,95","3.519,85","4.039,00","4.120,95","4.258,34","4.359,91","3.877,28","2.306,58"
31007 Pouso Alegre,"1.271,62","1.346,91","1.251,18","1.013,27","1.255,11","1.148,66","1.247,30","1.208,92","1.135,52","1.213,23","1.220,01","1.136,11","1.262,68","1.201,69","1.251,70","1.335,26","1.335,84","1.228,67","1.239,32","1.077,78","1.331,65","1.250,36","1.265,36","1.323,64","1.337,13","1.359,55","1.289,94","1.301,05","1.299,67","1.301,28","1.454,28","1.306,20","1.542,08","1.300,51","1.246,99","1.650,52","1.250,06","1.424,76","1.537,90","1.583,62","1.355,51","1.429,55","1.462,28","1.605,80","1.562,09","1.616,39","1.607,06","1.563,01","1.522,37","1.536,28","1.473,30","1.506,38","1.574,89","1.445,10","1.530,31","1.513,41","1.535,77","1.592,36","1.658,66","1.588,75","1.592,30","1.506,23","1.548,84","1.571,19","1.644,96","1.529,97","1.504,06","1.620,20","1.771,34","1.694,81","1.653,72","1.623,93","1.689,56","1.632,51","1.744,99","1.634,74","1.607,03","1.653,92","1.736,81","1.690,25","1.722,91","1.817,74","1.823,12","1.753,79","1.699,60","1.744,96","1.842,86","1.889,72","1.560,46","1.704,98","1.685,83","1.758,99","1.652,00","1.809,67","1.673,57","1.727,60","1.730,63","1.734,76","1.760,37","1.670,43","1.740,95","1.725,80","1.779,32","1.591,50","1.981,25","1.642,12","1.699,73","1.871,64","1.841,27","1.835,08","1.968,03","1.544,36","1.814,72","1.785,80","1.680,34","1.654,04","1.704,56","1.686,21","1.755,85","1.747,36","1.779,80","1.761,48","1.421,19","1.650,50","1.696,90","1.820,74","2.153,57","2.687,92","2.463,57","2.229,22","2.596,77","2.115,65","2.646,11","1.934,31","2.308,24","2.653,81","2.766,15","2.749,65","2.731,08","2.504,10","2.129,85","2.175,77","2.046,42","1.911,17","2.239,20","1.990,55","2.122,84","2.412,93","2.086,92","2.363,89","1.969,11","2.010,57","2.191,79","2.011,21","2.201,11","1.939,27","2.210,82","2.031,99","2.052,13","2.097,79","2.092,07","2.255,15","2.175,84","2.054,84","1.993,02","1.940,42","2.142,19","2.312,59","2.050,31","2.413,67","2.074,47","1.979,93","2.092,10","2.107,74","2.268,33","2.293,39","2.810,53","2.866,43","2.132,09","2.163,92","2.085,69","2.837,56","2.210,49","2.183,79","2.250,62","2.092,88","2.453,01","3.063,22","3.059,73","2.824,48","3.230,74","2.886,43","1.843,06"
31008 São Lourenço,"667,07","712,41","752,41","735,91","822,18","790,31","824,88","873,01","799,3","815,07","874,98","812,87","821,20","777,54","851,84","778,59","842,90","821,09","833,12","832,59","831,31","865,77","827,27","848,92","810,72","819,11","816,73","769,37","841,98","805,96","857,58","850,91","829,23","829,81","825,61","796,29","794,64","820,19","743,39","781,27","764,63","836,42","794,8","853,23","830,6","774,99","824,81","763,78","770,5","819,9","918,07","895,44","980,86","793,22","800,14","809,24","864,55","765,05","831,37","795,87","811,89","818,18","848,58","824,29","808,9","837,47","771,26","851,85","815,54","811,49","768,54","846,04","796,71","784,39","803,78","849,97","843,26","803,17","790,24","843,68","847,24","816,13","848,17","807,84","813,8","786,54","799,82","754,99","838,13","849,95","847,35","847,61","771,11","850,45","836,31","802,73","839,39","820,98","822,24","835,04","844,63","828,45","808,82","857,35","803,24","855,14","853,93","862,87","898,01","854,84","850,97","856,67","846,75","875,91","874,83","923,82","801,57","882,22","869,42","865,22","855,97","910,67","909,74","981,57","1.014,63","1.023,08","1.079,75","1.225,78","1.244,69","952,84","1.114,89","1.265,10","1.226,42","1.288,76","1.812,35","2.565,72","2.814,18","2.632,08","1.917,09","1.795,90","1.520,95","1.476,88","1.158,30","1.142,95","1.530,27","1.588,18","1.156,11","1.011,62","1.194,20","1.073,99","1.180,54","1.116,34","1.198,23","1.055,82","1.220,16","1.128,00","1.208,12","1.147,31","1.185,47","1.119,51","1.158,82","1.225,93","1.281,24","1.128,87","1.195,22","1.129,75","1.156,56","1.191,01","1.197,88","1.098,85","1.256,18","1.251,63","1.216,34","1.284,33","1.591,41","1.518,65","1.294,45","1.284,58","1.421,34","1.318,35","1.211,87","1.606,82","1.463,13","1.578,36","1.586,03","1.372,73","1.385,40","1.834,31","1.929,75","1.645,65","1.824,14","2.107,11","1.054,27"
31009 São Sebastião do Paraíso,"1.039,99","971,16","847,54","930,64","971,99","930,13","912,28","897,31","969,91","1.042,12","886,92","1.053,28","991,60","868,71","1.032,10","920,46","856,24","973,92","963,49","979,35","1.020,30","918,25","997,95","996,25","977,04","1.021,40","968,09","1.042,48","892,7","1.011,69","988,72","1.041,53","1.026,33","955,49","960,49","962,09","965,79","1.238,94","1.164,97","1.017,65","1.174,69","1.188,12","1.212,29","1.303,39","1.217,99","1.371,47","1.224,86","1.154,99","1.284,26","1.359,32","1.361,99","1.306,53","1.206,82","1.239,32","1.279,16","1.349,47","1.181,92","1.372,63","1.469,52","1.459,38","1.439,86","1.469,33","1.509,68","1.585,81","1.605,12","1.533,90","1.512,81","1.562,35","1.842,65","1.751,76","1.926,41","1.678,99","1.731,73","1.505,18","1.534,63","1.657,34","1.645,68","1.544,51","1.616,55","1.720,71","1.670,30","1.562,41","1.606,34","1.586,16","1.511,69","1.693,47","1.629,48","1.763,95","1.571,05","1.477,66","1.438,47","1.730,27","1.687,33","1.601,70","1.473,08","1.456,56","1.560,06","1.710,30","1.683,97","1.663,93","1.694,39","1.545,21","1.633,22","1.620,35","1.671,34","1.387,24","1.683,70","1.716,58","1.828,71","1.540,67","1.622,70","1.493,44","1.588,54","1.706,89","1.538,44","1.489,10","1.591,33","1.614,68","1.594,42","1.611,40","1.636,87","1.512,67","1.684,71","1.886,90","1.762,96","1.571,60","1.915,55","1.678,87","1.946,45","1.927,82","1.824,90","1.940,81","1.876,13","1.985,61","1.824,96","2.304,73","2.694,17","2.407,57","2.178,68","2.579,79","2.263,30","2.225,83","1.941,93","1.890,69","1.791,50","1.796,61","2.221,29","2.063,76","2.063,46","1.948,66","1.885,40","2.349,17","2.579,80","2.104,97","2.267,81","2.383,88","2.086,15","1.649,10","1.651,94","2.280,66","2.289,54","2.973,21","1.946,64","1.909,83","2.140,54","2.311,24","1.815,08","1.982,04","2.466,22","2.007,56","2.443,62","2.131,16","2.261,72","2.146,24","2.360,25","1.882,19","4.472,59","1.816,07","2.361,41","3.239,17","2.697,54","1.613,89","2.225,59","2.370,17","3.018,41","2.012,17","2.599,97","2.592,48","3.060,08","2.383,11","2.417,84","3.162,60","1.708,91"
31010 Três Corações,"915,9","834,62","882,9","849,21","963,19","967,58","979,55","885,25","978,62","980,42","969,47","886,81","913,55","917,27","961,00","928,19","975,99","862,67","936,8","962,71","963,97","895,41","962,95","907,42","908,66","971,58","870,62","952,58","1.061,47","946,8","958,6","975,1","921,11","962,58","976,12","991,7","1.024,60","952,52","1.003,46","1.026,52","1.008,98","915,04","1.022,26","983,24","1.023,29","1.047,43","954,12","980,68","1.009,66","916,59","949,98","944,94","978,08","996,1","976,65","947,02","951,67","984,83","953,56","961,48","1.051,95","1.001,96","985,83","943,09","957,65","951,79","1.053,76","976,5","1.061,29","1.064,87","1.007,27","1.029,89","1.025,53","988,57","1.018,75","1.054,53","1.069,49","1.023,71","1.013,05","991,79","914,31","995,21","993,69","961,69","1.110,25","1.003,32","937,69","889,64","953,3","940,38","905,63","897,47","839,23","838,82","869,61","962,69","806,79","933,85","859,29","840,58","794,34","799,16","959,57","873,37","944,38","858,6","894,42","935,55","1.034,19","899,44","863,49","867,66","835,08","873,52","857,87","823,1","927,48","825,7","841,72","959,39","915,12","940,44","991,23","1.065,86","1.224,57","1.734,03","1.677,60","1.741,91","1.835,16","1.617,00","1.618,13","1.965,82","1.944,61","2.266,44","2.787,12","3.352,65","2.838,08","2.941,31","2.659,26","2.109,97","1.640,81","1.897,35","1.192,53","1.107,26","1.372,44","1.621,68","1.045,31","1.237,45","1.043,86","1.022,08","1.125,26","1.297,29","1.199,59","1.207,19","1.180,52","1.265,06","1.316,23","1.191,68","1.127,44","1.239,50","1.247,33","1.323,64","1.328,93","1.226,57","1.254,64","1.198,60","1.358,66","1.281,99","1.374,35","1.259,10","1.166,76","1.097,35","1.253,93","1.175,83","1.246,09","1.250,23","1.294,97","1.300,64","1.212,57","1.230,62","1.284,48","1.155,65","1.232,66","1.357,39","1.279,52","1.264,41","1.341,16","1.297,43","1.328,73","1.359,75","1.385,89","1.673,02","1.124,62"
