Município;Bovino;Bubalino;Equino;Suíno - total;Caprino;Ovino;Galináceos - total;Codornas
Abaeté;103195;100;2582;5385;1120;230;83170;-
Abre Campo;21733;-;551;13875;94;52;17313;-
Acaiaca ;5794;-;400;14000;60;50;7200;-
Açucena ;43459;3;1616;3530;110;73;110633;-
Água Boa ;59023;404;1700;5200;130;270;47100;-
Água Comprida ;14317;-;199;3080;10;224;171000;330
Aguanil ;14319;-;375;680;25;32;12200;-
Águas Formosas ;57555;7;2987;1481;316;866;14146;-
Águas Vermelhas ;16104;-;724;434;435;366;1467;-
Aimorés ;105836;7;2652;2602;763;732;26152;-
Aiuruoca ;23065;110;1841;5282;282;352;28128;-
Alagoa ;6933;-;358;420;40;44;3592;-
Albertina ;2345;-;137;566;-;75;2980;-
Além Paraíba ;30531;-;1010;1010;370;170;5404;-
Alfenas ;41900;280;1250;5600;320;250;142000;11500
Alfredo Vasconcelos ;4917;-;141;1374;37;-;7420;-
Almenara ;92535;143;2407;2888;330;692;33301;-
Alpercata ;20435;-;1900;854;500;900;21600;1370
Alpinópolis ;26700;177;597;1212;-;183;147668;90
Alterosa ;22500;10;690;3320;60;100;96000;-
Alto Caparaó ;1402;-;53;151;5;15;1143;-
Alto Rio Doce ;16902;-;887;3917;104;37;15192;-
Alvarenga ;14861;-;299;433;101;127;6686;-
Alvinópolis ;18656;65;880;7158;140;80;10700;-
Alvorada de Minas ;16000;-;470;1470;80;60;10100;-
Amparo do Serra ;7776;-;415;10832;640;25;16981;665
Andradas ;24225;2;700;7500;220;500;130500;-
Cachoeira de Pajeú ;17090;-;720;657;344;520;3480;-
Andrelândia ;24654;15;1112;3214;64;106;22022;192
Angelândia ;2800;-;185;1060;45;18;19500;-
Antônio Carlos ;16745;9;539;1475;25;173;31285;-
Antônio Dias ;12845;66;352;1680;6;-;16847;-
Antônio Prado de Minas ;5119;-;252;703;145;8;8457;-
Araçaí ;9110;38;221;190;238;153;23949;-
Aracitaba ;5579;-;153;697;16;-;4977;-
Araçuaí ;36167;-;2259;5156;463;478;20714;-
Araguari ;167276;185;3305;72238;72;401;1541489;-
Arantina ;1702;-;217;362;-;-;2422;-
Araponga ;5763;-;573;2304;158;-;21815;-
Araporã ;8145;5;216;311;-;66;1222;-
Arapuá ;19182;-;812;803;25;-;1994;-
Araújos ;24500;160;600;9700;-;25;61000;-
Araxá ;76144;221;2428;1026;126;1595;179681;-
Arceburgo ;13670;20;333;2020;97;-;191935;-
Arcos ;33610;25;2020;2916;35;12;47800;-
Areado ;18680;45;400;2150;60;70;20000;-
Argirita ;8673;10;254;5745;310;-;30690;-
Aricanduva ;7085;-;390;860;45;23;17200;-
Arinos ;137030;149;4500;4000;924;457;22500;-
Astolfo Dutra ;8965;-;227;505;131;330;109237;-
Ataléia ;132263;9;2696;3832;654;2252;26117;171
Augusto de Lima ;37790;4;530;600;-;-;39800;-
Baependi ;33029;65;1298;6776;549;140;37386;-
Baldim ;17727;-;1046;1324;41;478;297121;37
Bambuí ;83164;563;2900;6180;35;45;52500;-
Bandeira ;23368;73;775;3255;355;695;18814;-
Bandeira do Sul ;2637;5;70;515;30;20;3000;-
Barão de Cocais ;3561;-;129;166;59;40;442;-
Barão de Monte Alto ;14955;-;601;850;128;45;7842;-
Barbacena ;26464;28;856;9636;270;302;105160;-
Barra Longa ;16695;-;1500;2200;134;42;19800;-
Barroso ;3461;-;69;260;-;73;1853;-
Bela Vista de Minas ;2001;-;96;645;40;-;2530;-
Belmiro Braga ;18587;29;133;670;150;205;6510;-
Belo Horizonte ;692;-;3335;-;-;55;-;-
Belo Oriente ;8772;45;326;1024;64;12;8831;-
Belo Vale ;15235;-;452;1650;-;-;17500;-
Berilo ;11540;-;1330;3290;182;-;41195;-
Bertópolis ;32276;8;1545;1129;218;312;8774;-
Berizal ;9680;-;396;749;460;231;5722;-
Betim ;12610;-;922;800;215;247;9693;-
Bias Fortes ;11645;10;609;986;2;-;4701;-
Bicas ;8700;15;520;1550;132;43;10060;500
Biquinhas ;23558;-;685;2144;-;-;22255;-
Boa Esperança ;31624;93;1457;4750;32;72;38700;-
Bocaina de Minas ;8650;-;953;1547;70;115;9590;657
Bocaiúva ;91150;-;3780;7810;130;310;84250;-
Bom Despacho ;82857;300;2030;32400;130;130;755700;-
Bom Jardim de Minas ;5061;-;489;1215;52;62;6417;-
Bom Jesus da Penha ;9200;-;310;3325;30;130;136717;-
Bom Jesus do Amparo ;9595;82;397;776;13;76;260940;-
Bom Jesus do Galho ;23432;138;231;293;50;12;15752;-
Bom Repouso ;16200;-;400;1750;-;-;5300;-
Bom Sucesso ;38615;473;692;1021;20;10;12398;-
Bonfim ;11988;-;465;362;190;-;3460;-
Bonfinópolis de Minas ;53649;13;1400;3700;449;148;12100;-
Bonito de Minas ;20650;-;524;1170;233;36;19400;-
Borda da Mata ;25968;1;943;1650;37;79;27700;-
Botelhos ;16611;60;600;6420;90;281;19000;-
Botumirim ;8950;-;2230;2685;190;95;45900;-
Brasilândia de Minas ;78586;-;678;1730;77;13;16250;-
Brasília de Minas ;47662;84;2721;5120;330;668;58534;-
Brás Pires ;4511;-;206;1535;68;-;27935;-
Braúnas ;14420;40;729;2286;-;-;27374;169
Brazópolis ;25378;15;730;1510;100;100;18000;-
Brumadinho ;15577;35;720;36659;420;410;481110;-
Bueno Brandão ;19025;-;409;2420;400;110;22610;-
Buenópolis ;37090;-;510;1280;-;20;27000;-
Bugre ;7438;-;160;1135;147;-;3668;-
Buritis ;112463;37;4000;6310;100;500;22000;-
Buritizeiro ;115082;40;2561;15442;1430;159;32673;-
Cabeceira Grande ;45083;76;1000;1090;-;128;8650;-
Cabo Verde ;21136;15;441;4346;49;176;148287;-
Cachoeira da Prata ;2531;174;46;382;22;70;2689;-
Cachoeira de Minas ;20639;32;830;6070;100;420;22000;-
Cachoeira Dourada ;10100;2;196;115;100;160;1800;-
Caetanópolis ;5278;-;347;652;-;128;3483;33
Caeté ;6389;103;479;841;39;480;5109;-
Caiana ;3231;-;145;473;44;14;3300;-
Cajuri ;2385;-;175;1296;83;92;179571;-
Caldas ;46651;45;1300;4750;480;116;34300;-
Camacho ;7229;2;400;805;-;-;12000;-
Camanducaia ;18100;-;700;2000;50;300;14200;-
Cambuí ;18000;-;370;850;10;160;11900;-
Cambuquira ;11987;-;403;1760;6;608;50000;-
Campanário ;23984;18;1551;509;-;515;6411;73
Campanha ;11444;8;248;1520;17;23;21000;-
Campestre ;27747;70;1000;5700;60;60;50000;2400
Campina Verde ;316000;370;5400;6650;90;1680;143300;-
Campo Azul ;17176;-;1120;2634;340;825;16052;-
Campo Belo ;44810;61;920;910;22;25;40100;-
Campo do Meio ;6000;-;210;900;-;-;11500;-
Campo Florido ;67010;196;1462;2073;85;741;139300;-
Campos Altos ;23705;713;543;103;-;205;7586;-
Campos Gerais ;27850;39;1160;4980;120;240;54000;-
Canaã ;5385;15;176;2935;71;396;885872;-
Canápolis ;53556;16;899;11342;128;17;64083;-
Cana Verde ;16449;202;410;780;15;70;17500;-
Candeias ;39124;8;1400;1480;25;73;35000;-
Cantagalo ;7916;26;330;617;37;32;12043;-
Caparaó ;1901;-;72;161;29;10;1301;-
Capela Nova ;3402;-;136;1000;-;-;8200;-
Capelinha ;18218;-;665;2013;130;55;32290;-
Capetinga ;15420;185;355;804;14;16;92063;-
Capim Branco ;7700;-;390;560;10;540;1700;-
Capinópolis ;40000;14;894;9400;100;800;8500;-
Capitão Andrade ;23880;-;600;1700;600;500;12100;390
Capitão Enéas ;74350;-;2320;1650;210;160;16130;-
Capitólio ;21056;33;790;6070;72;161;66033;-
Caputira ;4100;-;450;1640;250;-;14400;200
Caraí ;21513;5;629;2735;-;595;27220;122
Caranaíba ;4898;10;120;370;-;-;2200;-
Carandaí ;12685;8;461;1113;241;144;4791;-
Carangola ;16150;25;186;800;115;5;9910;45
Caratinga ;31405;34;710;1251;72;385;103832;-
Carbonita ;5838;-;680;1120;22;60;22330;-
Careaçu ;14669;11;327;1110;37;675;12110;-
Carlos Chagas ;297064;64;7168;4430;516;6518;24424;-
Carmésia ;5415;169;369;414;-;12;3618;-
Carmo da Cachoeira ;14952;5;893;980;30;37;6500;-
Carmo da Mata ;29000;200;1400;6500;16;130;38000;-
Carmo de Minas ;21583;-;986;1370;50;117;15510;-
Carmo do Cajuru ;31500;220;600;4430;160;120;670000;-
Carmo do Paranaíba ;106452;55;2488;26000;47;169;67900;-
Carmo do Rio Claro ;38700;60;1400;9615;100;180;118000;-
Carmópolis de Minas ;27487;60;1280;3200;250;140;35000;-
Carneirinho ;224560;303;3326;3930;109;2002;28690;-
Carrancas ;20469;-;232;1643;-;48;7826;-
Carvalhópolis ;4150;-;480;960;-;-;32000;-
Carvalhos ;10280;-;795;3165;164;272;9729;-
Casa Grande ;5602;-;76;475;-;-;2150;-
Cascalho Rico ;28919;-;316;244;26;30;318500;-
Cássia ;58200;202;971;1462;78;335;333440;-
Conceição da Barra de Minas ;9584;-;525;850;-;-;10751;-
Cataguases ;29523;2;1014;10563;148;31;152120;-
Catas Altas ;1642;-;119;65;-;8;2377;-
Catas Altas da Noruega ;1604;-;52;615;-;-;3100;-
Catuji ;7965;-;339;1631;-;140;13301;-
Catuti ;10980;-;780;1200;100;120;14450;-
Caxambu ;5590;15;440;1051;30;105;6665;-
Cedro do Abaeté ;8943;-;283;289;-;15;3335;-
Central de Minas ;17663;-;2155;549;138;192;5770;-
Centralina ;19791;2;2012;423;-;433;41441;-
Chácara ;8723;-;480;-;120;385;2400;-
Chalé ;10900;-;650;-;20;350;13000;-
Chapada do Norte ;5416;-;980;3200;65;33;36550;-
Chapada Gaúcha ;22164;-;862;2957;150;1162;18575;-
Chiador ;11448;32;660;1283;102;44;6510;-
Cipotânea ;3300;-;234;1238;-;-;5674;-
Claraval ;10830;-;478;793;-;-;20777;-
Claro dos Poções ;41664;-;2300;7400;950;80;90600;-
