cod_ibge;municipio;estrato;cr
3100104;ABADIA DOS DOURADOS;6;Patrocínio
3100203;ABAETÉ;3;Bambuí
3100302;ABRE CAMPO;4;Viçosa
3100401;ACAIACA;4;Viçosa
3100500;AÇUCENA;3;Guanhaes
3100609;ÁGUA BOA;3;Guanhaes
3100708;ÁGUA COMPRIDA;7;Uberaba
3100807;AGUANIL;3;Oliveira
3100906;ÁGUAS FORMOSAS;1;Teófilo Otoni
3101003;ÁGUAS VERMELHAS;1;Almenara
3101102;AIMORÉS;2;Governador Valadares
3101201;AIURUOCA;5;Varginha
3101300;ALAGOA;5;Varginha
3101508;ALÉM PARAÍBA;4;Juiz de Fora
3101409;ALBERTINA;5;Pouso Alegre
3101607;ALFENAS;5;Passos
3101631;ALFREDO VASCONCELOS;3;Juiz de Fora
3101706;ALMENARA;1;Almenara
3101805;ALPERCATA;2;Governador Valadares
3101904;ALPINÓPOLIS;5;Passos
3102001;ALTEROSA;5;Passos
3102050;ALTO CAPARAÓ;4;Viçosa
3102100;ALTO RIO DOCE;4;Juiz de Fora
3102209;ALVARENGA;2;Governador Valadares
3102308;ALVINÓPOLIS;4;Viçosa
3102407;ALVORADA DE MINAS;3;Curvelo
3102506;AMPARO DA SERRA;4;Viçosa
3102605;ANDRADAS;5;Pouso Alegre
3102704;CACHOEIRA DE PAJEÚ;1;Almenara
3102803;ANDRELÂNDIA;5;Varginha
3102852;ANGELÂNDIA;3;Guanhaes
3102902;ANTÔNIO CARLOS;3;Juiz de Fora
3103009;ANTÔNIO DIAS;3;Governador Valadares
3103108;ANTÔNIO PRADO DE MINAS;4;Viçosa
3103207;ARAÇAÍ;3;Curvelo
3103306;ARACITABA;4;Juiz de Fora
3103405;ARAÇUAÍ;1;Almenara
3103504;ARAGUARI;7;Uberlândia
3103603;ARANTINA;4;Juiz de Fora
3103702;ARAPONGA;4;Viçosa
3103751;ARAPORÃ;7;Uberlândia
3103801;ARAPUÁ;6;Patos de Minas
3103900;ARAÚJOS;3;Bambuí
3104007;ARAXÁ;6;Uberaba
3104106;ARCEBURGO;5;Passos
3104205;ARCOS;3;Bambuí
3104304;AREADO;5;Passos
3104403;ARGIRITA;4;Juiz de Fora
3104452;ARICANDUVA;3;Guanhaes
3104502;ARINOS;1;Unaí
3104601;ASTOLFO DUTRA;4;Juiz de Fora
3104700;ATALÉIA;2;Teófilo Otoni
3104809;AUGUSTO DE LIMA;1;Curvelo
3104908;BAEPENDI;5;Varginha
3105004;BALDIM;3;Belo Horizonte
3105103;BAMBUÍ;3;Bambuí
3105202;BANDEIRA;1;Almenara
3105301;BANDEIRA DO SUL;5;Passos
3105400;BARÃO DE COCAIS;3;Belo Horizonte
3105509;BARÃO DE MONTE ALTO;4;Viçosa
3105608;BARBACENA;3;Juiz de Fora
3105707;BARRA LONGA;4;Viçosa
3105905;BARROSO;3;Juiz de Fora
3106002;BELA VISTA DE MINAS;4;Viçosa
3106101;BELMIRO BRAGA;4;Juiz de Fora
3106200;BELO HORIZONTE;3;Belo Horizonte
3106309;BELO ORIENTE;3;Governador Valadares
3106408;BELO VALE;3;Belo Horizonte
3106507;BERILO;1;Almenara
3106606;BERTÓPOLIS;1;Teófilo Otoni
3106655;BERIZAL;1;Montes Claros
3106705;BETIM;3;Belo Horizonte
3106804;BIAS FORTES;4;Juiz de Fora
3106903;BICAS;4;Juiz de Fora
3107000;BIQUINHAS;3;Bambuí
3107109;BOA ESPERANÇA;5;Oliveira
3107208;BOCAINA DE MINAS;4;Juiz de Fora
3107307;BOCAIÚVA;1;Montes Claros
3107406;BOM DESPACHO;3;Bambuí
3107505;BOM JARDIM DE MINAS;4;Juiz de Fora
3107604;BOM JESUS DA PENHA;5;Passos
3107703;BOM JESUS DO AMPARO;3;Belo Horizonte
3107802;BOM JESUS DO GALHO;3;Governador Valadares
3107901;BOM REPOUSO;5;Pouso Alegre
3108008;BOM SUCESSO;3;Oliveira
3108107;BONFIM;3;Oliveira
3108206;BONFINÓPOLIS DE MINAS;1;Unaí
3108255;BONITO DE MINAS;1;Montes Claros
3108305;BORDA DA MATA;5;Pouso Alegre
3108404;BOTELHOS;5;Passos
3108503;BOTUMIRIM;1;Montes Claros
3108552;BRASILÂNDIA DE MINAS;1;Unaí
3108602;BRASÍLIA DE MINAS;1;Montes Claros
