mun;PIBmun
Abadia dos Dourados ;83279
Abaeté ;248409
Abre Campo ;147704
Acaiaca ;24915
Açucena ;54227
Água Boa ;89193
Água Comprida ;116017
Aguanil ;41247
Águas Formosas ;112869
Águas Vermelhas ;128997
Aimorés ;291167
Aiuruoca ;49829
Alagoa ;19846
Albertina ;32874
Além Paraíba ;523892
Alfenas ;1519989
Alfredo Vasconcelos ;52563
Almenara ;296806
Alpercata ;45726
Alpinópolis ;237202
Alterosa ;128500
Alto Caparaó ;57107
Alto Rio Doce ;87922
Alvarenga ;28273
Alvinópolis ;162981
Alvorada de Minas ;41944
Amparo do Serra ;27513
Andradas ;588749
Cachoeira de Pajeú ;60090
Andrelândia ;112271
Angelândia ;50477
Antônio Carlos ;115958
Antônio Dias ;88688
Antônio Prado de Minas ;13743
Araçaí ;28229
Aracitaba ;13479
Araçuaí ;213748
Araguari ;2214236
Arantina ;35807
Araponga ;58643
Araporã ;1122434
Arapuá ;62771
Araújos ;156853
Araxá ;2887103
Arceburgo ;191847
Arcos ;859768
Areado ;151810
Argirita ;21177
Aricanduva ;27463
Arinos ;137073
Astolfo Dutra ;155950
Ataléia ;84564
Augusto de Lima ;43163
Baependi ;175461
Baldim ;58609
Bambuí ;342397
Bandeira ;27157
Bandeira do Sul ;41586
Barão de Cocais ;1046371
Barão de Monte Alto ;28397
Barbacena ;1714955
Barra Longa ;37070
Barroso ;315200
Bela Vista de Minas ;137821
Belmiro Braga ;32337
Belo Horizonte ;66315192
Belo Oriente ;995311
Belo Vale ;102362
Berilo ;58447
Bertópolis ;25945
Berizal ;24000
Betim ;21835766
Bias Fortes ;22811
Bicas ;142860
Biquinhas ;24783
Boa Esperança ;554248
Bocaina de Minas ;30253
Bocaiúva ;450064
Bom Despacho ;706781
Bom Jardim de Minas ;50904
Bom Jesus da Penha ;66876
Bom Jesus do Amparo ;43774
Bom Jesus do Galho ;77266
Bom Repouso ;74664
Bom Sucesso ;202606
Bonfim ;49816
Bonfinópolis de Minas ;114487
Bonito de Minas ;37284
Borda da Mata ;182335
Botelhos ;139705
Botumirim ;38577
Brasilândia de Minas ;131508
Brasília de Minas ;181845
Brás Pires ;23594
Braúnas ;78403
Brazópolis ;126718
Brumadinho ;2194472
Bueno Brandão ;86062
Buenópolis ;76232
