mun;vab_agro
Abadia dos Dourados ;33,61
Abaeté ;16,84
Abre Campo ;25,3
Acaiaca ;13,19
Açucena ;20,65
Água Boa ;30,16
Água Comprida ;65,86
Aguanil ;35,02
Águas Formosas ;7,92
Águas Vermelhas ;19,37
Aimorés ;12,77
Aiuruoca ;20,41
Alagoa ;18,95
Albertina ;27,05
Além Paraíba ;1,55
Alfenas ;8,85
Alfredo Vasconcelos ;27,84
Almenara ;5,63
Alpercata ;7,56
Alpinópolis ;26,87
Alterosa ;30,84
Alto Caparaó ;40,17
Alto Rio Doce ;36,33
Alvarenga ;28,39
Alvinópolis ;7,98
Alvorada de Minas ;14,53
Amparo do Serra ;19,97
Andradas ;14,49
Cachoeira de Pajeú ;9,51
Andrelândia ;15,09
Angelândia ;31,94
Antônio Carlos ;13,82
Antônio Dias ;18,17
Antônio Prado de Minas ;18,41
Araçaí ;11,06
Aracitaba ;11,52
Araçuaí ;3,1
Araguari ;12,98
Arantina ;35,59
Araponga ;40,88
Araporã ;3,52
Arapuá ;18,52
Araújos ;52,74
Araxá ;3,45
Arceburgo ;14,61
Arcos ;3,93
Areado ;23,25
Argirita ;19,32
Aricanduva ;22,52
Arinos ;22,76
Astolfo Dutra ;6,24
Ataléia ;24,17
Augusto de Lima ;24,51
Baependi ;12,82
Baldim ;22,27
Bambuí ;27,68
Bandeira ;25,6
Bandeira do Sul ;8,18
Barão de Cocais ;1,13
Barão de Monte Alto ;15,45
Barbacena ;4,39
Barra Longa ;17,67
Barroso ;1,09
Bela Vista de Minas ;0,56
Belmiro Braga ;22,51
Belo Horizonte ;0
Belo Oriente ;1,56
Belo Vale ;22,5
Berilo ;11,31
Bertópolis ;16,68
Berizal ;10,67
Betim ;0,08
Bias Fortes ;18,28
Bicas ;2,44
Biquinhas ;26,84
Boa Esperança ;25,13
Bocaina de Minas ;11,94
Bocaiúva ;6,96
Bom Despacho ;9,22
Bom Jardim de Minas ;5,63
Bom Jesus da Penha ;45,67
Bom Jesus do Amparo ;17,74
Bom Jesus do Galho ;19,8
Bom Repouso ;23,64
Bom Sucesso ;17,37
Bonfim ;18,2
Bonfinópolis de Minas ;53,12
Bonito de Minas ;10,04
Borda da Mata ;8,33
Botelhos ;24,78
Botumirim ;36,53
Brasilândia de Minas ;25,4
Brasília de Minas ;6,38
Brás Pires ;16,53
Braúnas ;4,81
Brazópolis ;22,45
Brumadinho ;0,92
Bueno Brandão ;22,12
Buenópolis ;24,68
Bugre ;15,65
Buritis ;50,33
Buritizeiro ;40,51
Cabeceira Grande ;34,67
Cabo Verde ;42,19
Cachoeira da Prata ;4,08
Cachoeira de Minas ;20,12
Cachoeira Dourada ;29,7
Caetanópolis ;12,99
Caeté ;4,18
Caiana ;27,82
Cajuri ;17,32
Caldas ;19,61
Camacho ;38,12
Camanducaia ;13,34
Cambuí ;3,36
Cambuquira ;45,16
Campanário ;14,46
Campanha ;16,69
Campestre ;30,69
Campina Verde ;23,18
Campo Azul ;17,98
Campo Belo ;9,86
Campo do Meio ;38,56
Campo Florido ;39,17
Campos Altos ;47,81
Campos Gerais ;34,38
Canaã ;47,73
Canápolis ;40,31
Cana Verde ;32,47
Candeias ;34,34
Cantagalo ;16,03
Caparaó ;21,85
Capela Nova ;17,97
Capelinha ;19,17
Capetinga ;35,35
Capim Branco ;4,08
Capinópolis ;30,23
Capitão Andrade ;14,28
Capitão Enéas ;11,76
Capitólio ;20,24
Caputira ;36,39
Caraí ;18,23
Caranaíba ;12,49
Carandaí ;13,04
